date,open,high,low,close,volume
2025-10-22,16.56,16.56,16.56,16.56,100
2025-10-23,16.56,16.56,16.56,16.56,0
2025-10-24,16.56,16.56,16.56,16.56,0
2025-10-27,16.56,16.56,16.56,16.56,0
2025-10-28,16.56,16.56,16.56,16.56,0
2025-10-29,16.56,16.56,16.56,16.56,0
2025-10-30,16.56,16.56,16.56,16.56,0
2025-10-31,16.56,16.56,16.56,16.56,0
2025-11-03,16.56,16.56,16.56,16.56,0
2025-11-04,16.56,16.56,16.56,16.56,0
2025-11-05,16.56,16.56,16.56,16.56,0
2025-11-06,16.56,16.56,16.56,16.56,0
2025-11-07,16.56,16.56,16.56,16.56,0
2025-11-10,16.56,16.56,16.56,16.56,0
2025-11-11,16.56,16.56,16.56,16.56,0
2025-11-12,16.56,16.56,16.56,16.56,0
2025-11-13,16.56,16.56,16.56,16.56,0
2025-11-14,16.56,16.56,16.56,16.56,0
2025-11-17,16.56,16.56,16.56,16.56,0
2025-11-18,16.56,16.56,16.56,16.56,0
2025-11-19,16.56,16.56,16.56,16.56,0
2025-11-20,16.56,16.56,16.56,16.56,0
2025-11-21,16.56,16.56,16.56,16.56,0
2025-11-24,16.56,16.56,16.56,16.56,0
2025-11-25,16.56,16.56,16.56,16.56,0
2025-11-26,16.56,16.56,16.56,16.56,0
2025-11-27,16.56,16.56,16.56,16.56,100
2025-11-28,16.56,16.56,16.56,16.56,0
2025-12-01,16.56,16.56,16.56,16.56,1
2025-12-02,16.56,16.56,16.56,16.56,0
2025-12-03,16.56,16.56,16.56,16.56,0
2025-12-04,15.49,15.49,15.49,15.49,500
2025-12-05,15.49,15.49,14.52,14.52,1101
2025-12-08,15.2,15.2,15.2,15.2,0
2025-12-09,15.2,15.2,15.2,15.2,0
2025-12-10,15.2,15.2,15.2,15.2,0
2025-12-11,15.2,15.2,15.2,15.2,0
2025-12-12,15.2,15.2,15.2,15.2,0
2025-12-15,15.2,15.2,15.2,15.2,0
2025-12-16,15.2,15.2,15.2,15.2,0
2025-12-17,15.2,15.2,15.2,15.2,0
2025-12-18,15.2,15.2,15.2,15.2,0
2025-12-19,15.2,15.2,15.2,15.2,0
2025-12-22,15.2,15.2,15.2,15.2,0
2025-12-23,15.2,15.2,15.2,15.2,0
2025-12-24,15.2,15.2,15.2,15.2,0
2025-12-25,15.2,15.2,15.2,15.2,0
2025-12-26,15.2,15.2,15.2,15.2,0
2025-12-29,15.2,15.2,15.2,15.2,0
2025-12-30,15.2,15.2,15.2,15.2,0
2025-12-31,15.2,15.2,15.2,15.2,0
2026-01-05,15.2,15.2,15.2,15.2,0
2026-01-06,15.2,15.2,15.2,15.2,0
2026-01-07,15.2,15.2,15.2,15.2,0
2026-01-08,15.2,15.2,15.2,15.2,0
2026-01-09,15.2,15.2,15.2,15.2,0
2026-01-12,15.2,15.2,15.2,15.2,0
2026-01-13,15.2,15.2,15.2,15.2,0
2026-02-03,15.0,15.0,15.0,15.0,1000
2026-02-06,15.2,15.2,15.2,15.2,1000
2026-02-12,15.5,15.5,15.5,15.5,100
2026-02-24,15.5,15.5,15.3,15.3,1300
2026-02-27,15.5,15.5,15.5,15.5,600
2026-03-04,15.0,17.8,15.0,17.8,2100
2026-03-13,16.0,16.0,16.0,16.0,500
2026-03-16,16.0,16.0,16.0,16.0,0.0
2026-03-17,16.0,16.0,16.0,16.0,0.0
2026-03-18,16.0,16.0,16.0,16.0,0.0
2026-03-19,16.0,16.0,16.0,16.0,0.0
2026-03-20,16.0,16.0,16.0,16.0,0.0
2026-03-23,16.0,16.0,16.0,16.0,0.0
2026-03-24,16.0,16.0,16.0,16.0,0.0
2026-03-25,16.0,16.0,16.0,16.0,0.0
2026-03-26,16.0,16.0,16.0,16.0,0.0
2026-03-27,16.0,16.0,16.0,16.0,0.0
2026-03-30,16.0,16.0,16.0,16.0,0.0
2026-03-31,16.0,16.0,16.0,16.0,0.0
2026-04-01,16.0,16.0,16.0,16.0,0.0
2026-04-02,16.0,16.0,16.0,16.0,0.0
2026-04-03,15.9,15.9,15.9,15.9,400.0
2026-04-06,15.9,15.9,15.9,15.9,0.0
2026-04-07,15.9,15.9,15.9,15.9,0.0
2026-04-08,15.9,15.9,15.9,15.9,0.0
2026-04-09,16.0,16.0,16.0,16.0,100.0
2026-04-10,16.0,16.0,16.0,16.0,0.0
2026-04-13,16.0,16.0,16.0,16.0,0.0
2026-04-14,16.0,16.0,16.0,16.0,2500.0
2026-04-15,16.0,16.0,16.0,16.0,1800.0
2026-04-16,16.0,16.0,16.0,16.0,0.0
2026-04-17,16.0,16.0,16.0,16.0,0.0
2026-04-20,16.0,16.0,16.0,16.0,0.0
2026-04-21,16.0,16.0,16.0,16.0,0.0
2026-04-22,16.0,16.0,16.0,16.0,0.0
2026-04-23,16.0,16.0,16.0,16.0,0.0
2026-04-24,15.0,15.0,15.0,15.0,1000.0
2026-04-28,15.5,15.5,15.0,15.0,5000.0
2026-04-29,15.1,15.1,15.1,15.1,0.0
