date,open,high,low,close,volume
2024-08-09,13.85,13.85,13.85,13.85,8200
2024-08-12,15.92,15.92,15.92,15.92,43800
2024-08-13,18.31,18.31,17.77,18.31,179400
2024-08-14,21.0,21.0,17.23,19.23,55500
2024-08-15,17.69,18.08,16.77,16.77,117300
2024-08-16,16.85,19.31,16.85,18.46,92900
2024-08-19,19.23,20.38,16.85,17.69,39300
2024-08-20,19.92,19.92,16.69,17.46,37700
2024-08-21,19.23,19.54,17.31,17.54,35700
2024-08-22,19.85,19.85,17.08,17.38,16300
2024-08-23,17.54,18.23,17.15,18.23,51200
2024-08-26,18.85,18.85,17.77,18.46,12700
2024-08-27,18.85,18.85,17.77,17.85,10500
2024-08-28,18.46,18.46,17.69,18.15,31400
2024-08-29,18.08,18.31,18.08,18.31,12100
2024-08-30,18.46,18.46,18.0,18.15,14500
2024-09-04,18.0,20.38,18.0,20.15,42000
2024-09-05,21.85,21.85,18.69,19.23,16800
2024-09-06,21.54,21.54,19.08,19.15,10500
2024-09-09,21.54,21.54,18.38,18.85,35500
2024-09-10,18.61,18.61,17.77,18.31,14500
2024-09-11,18.31,18.46,17.61,18.31,11400
2024-09-12,20.54,20.54,17.61,19.23,11700
2024-09-13,18.46,18.46,17.61,17.92,7100
2024-09-16,17.38,18.61,17.15,17.85,12200
2024-09-17,17.92,18.15,17.31,17.69,15100
2024-09-18,17.38,18.08,17.31,17.77,13400
2024-09-19,18.08,18.08,17.38,17.77,13200
2024-09-20,17.61,18.23,17.31,18.0,14700
2024-09-23,18.0,18.85,17.31,17.61,16400
2024-09-24,18.46,18.46,17.31,17.92,15200
2024-09-25,18.46,18.46,17.31,17.54,22400
2024-09-26,17.31,18.23,17.08,17.69,21600
2024-09-27,18.15,18.46,17.08,17.54,21000
2024-09-30,17.38,17.69,17.31,17.54,16600
2024-10-01,17.23,18.08,17.23,17.46,6300
2024-10-02,18.15,18.15,16.92,17.77,6100
2024-10-03,17.69,17.69,17.08,17.61,36500
2024-10-04,17.38,17.38,17.15,17.38,21800
2024-10-07,17.15,17.85,17.15,17.46,11100
2024-10-08,18.08,18.08,17.15,17.69,13900
2024-10-09,17.54,17.54,17.08,17.54,7900
2024-10-10,17.23,17.31,16.92,16.92,18200
2024-10-11,19.69,19.69,17.0,17.23,2600
2024-10-14,17.23,17.23,16.54,17.0,5000
2024-10-15,16.77,16.85,16.31,16.85,1600
2024-10-16,16.46,16.46,15.92,15.92,3000
2024-10-17,16.0,16.54,15.77,16.54,3000
2024-10-18,16.31,17.31,16.31,17.31,2800
2024-10-21,17.31,17.31,17.31,17.31,100
2024-10-22,17.23,17.23,15.61,16.23,11400
2024-10-23,16.15,16.92,15.77,16.38,5300
2024-10-24,16.38,16.54,15.77,16.08,2600
2024-10-25,15.92,16.23,15.61,16.23,5600
2024-10-28,15.85,16.15,15.46,15.92,8700
2024-10-29,15.77,15.77,15.46,15.54,7500
2024-10-30,15.54,15.85,15.54,15.85,8100
2024-10-31,16.61,16.92,15.85,16.15,4400
