date,open,high,low,close,volume
2024-01-30,18.28,18.39,18.18,18.21,6383741
2024-01-31,18.32,18.32,17.93,18.07,12162755
2024-02-01,18.04,18.32,18.04,18.25,6284328
2024-02-02,18.21,18.46,18.14,18.42,14534871
2024-02-05,18.42,19.65,18.35,19.51,28138723
2024-02-06,19.55,19.58,19.41,19.55,5454327
2024-02-07,19.55,19.79,19.55,19.65,11903453
2024-02-15,19.69,19.93,19.09,19.09,14255094
2024-02-16,19.3,19.37,19.16,19.37,9502568
2024-02-19,19.44,19.44,19.09,19.44,11864502
2024-02-20,19.3,19.48,19.19,19.34,7321603
2024-02-21,19.3,19.58,19.23,19.44,10257725
2024-02-22,19.44,19.48,19.3,19.41,7407861
2024-02-23,19.44,19.93,19.16,19.16,25987605
2024-02-26,19.16,19.44,19.02,19.3,9791428
2024-02-27,19.44,19.44,19.19,19.37,12061563
2024-02-28,19.41,19.65,19.34,19.65,10465608
2024-02-29,19.72,19.83,19.44,19.65,9960379
2024-03-01,19.65,19.65,19.34,19.51,10201609
2024-03-04,19.51,19.79,19.23,19.51,13224034
2024-03-05,19.51,19.65,19.34,19.62,6339771
2024-03-06,19.65,19.76,19.34,19.37,9799350
2024-03-07,19.37,19.44,19.23,19.3,10171157
2024-03-08,19.3,19.41,18.95,18.98,23024715
2024-03-11,18.98,19.02,18.7,18.77,12023089
2024-03-12,18.7,18.84,18.67,18.77,8318885
2024-03-13,18.77,19.41,18.77,19.41,8940425
2024-03-14,19.37,19.37,18.98,19.12,8232737
2024-03-15,19.12,19.23,18.95,19.19,7828640
2024-03-18,19.09,19.19,18.74,18.88,14127772
2024-03-19,18.81,18.98,18.77,18.84,7125247
2024-03-20,18.84,19.44,18.81,19.3,14010312
2024-03-21,19.44,19.65,19.34,19.65,12824070
2024-03-22,19.83,20.32,19.58,19.76,22688584
2024-03-25,19.69,19.69,19.3,19.3,10196791
2024-03-26,19.37,19.62,19.19,19.62,6287467
2024-03-27,19.62,19.69,19.37,19.65,5962845
2024-03-28,19.86,20.07,19.79,19.9,12429800
2024-03-29,19.93,20.11,19.76,20.0,13496333
2024-04-01,19.79,20.0,19.72,19.97,6180472
2024-04-02,19.86,19.93,19.58,19.93,10414778
2024-04-03,19.79,19.93,19.58,19.65,10205483
2024-04-04,19.69,19.69,19.34,19.34,11161719
2024-04-05,19.16,19.23,19.02,19.05,12293515
2024-04-08,19.05,19.12,18.91,19.05,6874403
2024-04-09,19.05,19.16,18.98,19.16,5374934
2024-04-10,19.26,19.37,19.02,19.02,5127160
2024-04-11,18.95,19.05,18.88,19.05,11290085
2024-04-12,19.09,19.65,18.95,19.65,9772642
2024-04-15,19.51,19.65,18.84,18.84,16263243
2024-04-16,18.84,19.05,18.77,19.05,17356891
2024-04-17,19.09,19.12,18.77,18.77,10485319
2024-04-19,18.67,18.81,18.56,18.67,10866833
2024-04-22,18.88,18.91,18.74,18.81,6317643
2024-04-23,18.81,18.91,18.63,18.7,8544832
2024-04-24,18.81,19.02,18.74,18.98,6684776
2024-04-25,18.95,18.98,18.77,18.81,5144590
2024-04-26,18.81,18.95,18.67,18.84,5446804
2024-05-02,18.84,19.05,18.81,18.95,4801959
2024-05-03,19.02,19.3,19.02,19.3,8722742
2024-05-06,19.3,19.44,19.19,19.37,7449978
2024-05-07,19.48,19.51,19.3,19.41,4305048
2024-05-08,19.3,19.41,19.16,19.34,4040821
2024-05-09,19.37,19.51,19.3,19.37,4105414
2024-05-10,19.37,19.44,19.26,19.44,4913057
2024-05-13,19.65,19.65,19.41,19.44,5555670
2024-05-14,19.44,19.58,19.41,19.48,4474265
2024-05-15,19.55,19.55,19.44,19.44,7807457
2024-05-16,19.65,19.93,19.51,19.83,30211993
2024-05-17,19.83,19.93,19.79,19.83,8509864
2024-05-20,20.0,20.04,19.79,19.83,9339952
2024-05-21,19.83,19.86,19.55,19.79,10828854
2024-05-22,19.79,19.83,19.58,19.62,9288338
2024-05-23,19.65,20.0,19.65,19.97,10454272
2024-05-24,19.97,21.19,19.83,20.53,33867112
2024-05-27,20.7,20.95,20.53,20.67,7541858
2024-05-28,20.84,20.84,20.56,20.81,10694176
2024-05-29,20.84,20.88,20.53,20.53,13456310
2024-05-30,20.46,20.63,20.25,20.63,13118384
2024-05-31,20.89,21.14,20.6,20.6,11139289
2024-06-03,20.76,20.85,20.55,20.72,16257238
2024-06-04,20.72,20.72,20.43,20.47,9735560
2024-06-05,20.68,20.68,20.3,20.34,10801981
2024-06-06,20.39,20.47,20.3,20.34,8033240
2024-06-07,20.51,20.6,20.3,20.55,5892570
2024-06-10,20.55,20.64,20.3,20.39,7679882
2024-06-11,20.39,20.43,20.14,20.18,9213280
2024-06-12,20.18,20.51,19.97,20.51,10400953
2024-06-13,20.51,20.8,20.39,20.72,11727801
2024-06-14,20.64,20.8,20.55,20.55,11049165
2024-06-17,20.55,20.55,20.26,20.51,6375848
2024-06-18,20.64,20.64,20.39,20.51,5729760
2024-06-19,20.51,20.64,20.26,20.6,7618993
2024-06-20,20.51,20.76,20.39,20.72,10178313
2024-06-21,20.76,20.76,20.47,20.51,5126289
2024-06-24,20.55,20.55,19.97,20.14,14225312
2024-06-25,20.05,20.22,19.97,20.09,6708386
2024-06-26,20.05,20.14,19.72,20.14,10145262
2024-06-27,20.05,20.14,19.88,20.01,4904878
2024-06-28,19.88,20.05,19.84,19.88,5755042
2024-07-01,19.88,19.93,19.72,19.88,3938961
2024-07-02,19.88,20.14,19.8,20.09,5701649
2024-07-03,20.18,20.39,20.01,20.26,5854818
2024-07-04,20.3,20.34,20.01,20.18,6394551
2024-07-05,20.18,20.3,20.05,20.3,6357111
2024-07-08,20.3,20.34,20.14,20.26,4959392
2024-07-09,20.18,20.39,20.09,20.3,8004908
2024-07-10,20.47,20.47,20.26,20.26,6484698
2024-07-11,20.34,20.34,20.18,20.18,5001133
2024-07-12,20.14,20.18,19.88,20.05,7160694
2024-07-15,20.05,20.09,19.97,20.01,4490958
2024-07-16,20.05,20.3,20.01,20.14,7002765
2024-07-17,20.3,21.05,20.22,20.47,28924392
