date,open,high,low,close,volume
2022-10-18,0.9,0.9,0.9,0.9,0
2022-10-19,0.9,0.9,0.9,0.9,0
2022-10-20,0.9,0.9,0.9,0.9,0
2022-10-21,0.9,1.0,0.8,0.9,14200
2022-10-24,0.9,0.9,0.9,0.9,0
2022-10-25,0.9,0.9,0.9,0.9,0
2022-10-26,0.9,0.9,0.9,0.9,0
2022-10-27,0.9,0.9,0.9,0.9,0
2022-10-28,0.9,1.0,0.8,0.9,43023
2022-10-31,0.9,0.9,0.9,0.9,0
2022-11-01,0.9,0.9,0.9,0.9,0
2022-11-02,0.9,0.9,0.9,0.9,0
2022-11-03,0.9,0.9,0.9,0.9,0
2022-11-04,0.9,0.9,0.8,0.8,47600
2022-11-07,0.8,0.8,0.8,0.8,0
2022-11-08,0.8,0.8,0.8,0.8,0
2022-11-09,0.8,0.8,0.8,0.8,0
2022-11-10,0.8,0.8,0.8,0.8,0
2022-11-11,0.8,0.8,0.7,0.7,148800
2022-11-14,0.7,0.7,0.7,0.7,0
2022-11-15,0.7,0.7,0.7,0.7,0
2022-11-16,0.7,0.7,0.7,0.7,0
2022-11-17,0.7,0.7,0.7,0.7,0
2022-11-18,0.8,0.8,0.7,0.7,224700
2022-11-21,0.7,0.7,0.7,0.7,0
2022-11-22,0.7,0.7,0.7,0.7,0
2022-11-23,0.7,0.7,0.7,0.7,0
2022-11-24,0.7,0.7,0.7,0.7,0
2022-11-25,0.7,0.8,0.7,0.7,108409
2022-11-28,0.7,0.7,0.7,0.7,0
2022-11-29,0.7,0.7,0.7,0.7,0
2022-11-30,0.7,0.7,0.7,0.7,0
2022-12-01,0.7,0.7,0.7,0.7,0
2022-12-02,0.7,0.8,0.7,0.8,970601
2022-12-05,0.8,0.8,0.8,0.8,0
2022-12-06,0.8,0.8,0.8,0.8,0
2022-12-07,0.8,0.8,0.8,0.8,0
2022-12-08,0.8,0.8,0.8,0.8,0
2022-12-09,0.9,0.9,0.7,0.8,742500
2022-12-12,0.8,0.8,0.8,0.8,0
2022-12-13,0.8,0.8,0.8,0.8,0
2022-12-14,0.8,0.8,0.8,0.8,0
2022-12-15,0.8,0.8,0.8,0.8,0
2022-12-16,0.8,0.8,0.7,0.7,837905
2022-12-19,0.7,0.7,0.7,0.7,0
2022-12-20,0.7,0.7,0.7,0.7,0
2022-12-21,0.7,0.7,0.7,0.7,0
2022-12-22,0.7,0.7,0.7,0.7,0
2022-12-23,0.7,0.7,0.6,0.7,271700
2022-12-26,0.7,0.7,0.7,0.7,0
2022-12-27,0.7,0.7,0.7,0.7,0
2022-12-28,0.7,0.7,0.7,0.7,0
2022-12-29,0.7,0.7,0.7,0.7,0
2022-12-30,0.7,0.7,0.6,0.7,78900
2023-01-03,0.7,0.7,0.7,0.7,0
2023-01-04,0.7,0.7,0.7,0.7,0
2023-01-05,0.7,0.7,0.7,0.7,0
2023-01-06,0.7,0.7,0.6,0.6,59500
2023-01-09,0.6,0.6,0.6,0.6,0
2023-01-10,0.6,0.6,0.6,0.6,0
2023-01-11,0.6,0.6,0.6,0.6,0
2023-01-12,0.6,0.6,0.6,0.6,0
2023-01-13,0.6,0.7,0.6,0.7,147300
2023-01-16,0.7,0.7,0.7,0.7,0
2023-01-17,0.7,0.7,0.7,0.7,0
2023-01-18,0.7,0.7,0.7,0.7,0
2023-01-19,0.7,0.7,0.7,0.7,0
2023-01-27,0.8,0.8,0.8,0.8,360001
2023-01-30,0.8,0.8,0.8,0.8,0
